GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-199b-3p	146.4	530.15	175.53	265.33	229.9	250.98	697.16	408.64	627.68	266.09	696.21	246.07	353.28	732.62	333.64	477.94	411.29	350.11	1295.79	24.55	40.78	354.12	173.17	480.59	676.72	172.85	56.17	9.6	64.77	142.09	341.93	575.83	391.16	338.67	299.53	144.18	98.73	260.33	420.9	213.58	118.99
hsa-mir-199a-1-3p	146.4	530.15	175.53	265.33	229.9	250.98	697.16	408.64	627.68	266.09	696.21	246.07	353.28	732.62	333.64	477.94	411.29	350.11	1295.79	24.55	40.78	354.12	173.17	480.59	676.72	172.85	56.17	9.6	64.77	142.09	341.93	575.83	391.16	338.67	299.53	144.18	98.73	260.33	420.9	213.58	118.99
hsa-mir-130a-3p	90.67	189.81	140.67	178.49	158.45	133.11	293.49	145.67	176.88	135.51	291.63	177.59	211.76	283.83	130.32	138.16	271.83	178.14	405.6	25.52	33.13	142.56	44.53	254.09	352.42	95.61	57.71	13.05	78.08	131.54	101.66	320.27	124.93	197.11	287.84	133.8	86.21	125.45	284.55	96.41	126
hsa-mir-148b-3p	321.48	240.14	110.06	56.2	120.68	150.38	124.71	121.11	160.51	125.21	330.63	107.85	177.74	299.2	199.96	322.17	265.95	500.15	534.03	46.4	43.68	149.44	124.19	236.38	93.17	170.77	111.41	48.55	268.81	290.05	133.11	150.69	217.81	278.28	103.43	277.72	105.96	272.9	304.89	204.2	514.47
hsa-mir-15a-5p	30.11	233.1	49.44	47.67	39.8	62.38	128.45	45.24	70.63	81.06	254.58	34.45	77.58	195.95	108.59	92.48	90.42	78.76	360.21	7.35	11.35	60.25	18.04	155.73	32.85	35.15	14	4.11	19.3	48.24	36.58	166.3	101.51	106.98	73.49	58.02	18.56	37.76	132.7	57.16	25.45
hsa-mir-28-3p+1	165.4	126.03	66.32	68.69	131.58	143.18	162.5	112.39	161.29	113.59	176	186.58	107.68	171.41	133.86	169.64	159.26	150.37	74.7	54.21	32.89	78.38	87.78	101.65	489.65	127.65	54.39	30.41	119.91	66.46	87.18	97.04	108.6	118.07	108.16	45.69	21.04	184.59	120.46	71.97	145.94
hsa-mir-130b-3p	42.84	70.47	56.35	25.12	52.3	47.88	103.2	42.43	46.22	36.27	95.4	22.71	68.98	117.83	51.23	80.11	116.46	72.45	137.28	13.46	16.39	54.77	30.05	56.6	25.64	30.37	18.97	5.25	40.75	41.91	43.09	61.7	59.12	71.92	57.9	50.01	25.44	62.97	78.41	37.41	58.37
hsa-mir-142-5p-2	13.24	443.2	30.24	45.11	17.65	46.02	85.82	19.87	25.77	124.44	257.09	10.36	35.53	161.22	147.26	172.09	97.16	76.73	3056.02	15.31	10.16	38.52	12.46	213.58	9.24	35.48	28.67	5.7	6.59	48.37	23	162.6	192.5	130.91	53.43	151.49	22.87	7.54	381.8	56.48	17.42
hsa-mir-181b-1-5p	709.95	673.84	410.88	266.51	444.52	471.31	542.86	450.68	712.87	396.9	502.99	408.26	275.86	552.42	542.18	446.07	610.71	561.18	567.46	244.37	222.92	716.87	492.16	580.85	813.08	563.65	176.9	133.41	522.22	460.15	390.97	355.96	264.84	288.27	458.35	418.78	186.2	959.6	829.06	709.68	374.09
hsa-mir-151a-3p-2	44.43	79.51	39.76	44.43	57.41	65.73	109.38	60.53	75.56	39.84	120.73	39.1	64.29	133.8	83.97	142.73	108.73	85.07	107.95	11.14	12.85	36.6	39.59	92.01	69.32	48.63	25.76	9.45	50.59	38.33	31.77	84.58	65.99	88.41	59.76	29.42	12	66.61	64.09	33.52	46.63
hsa-mir-181b-2-5p	836.5	747.31	457.8	297.53	492.78	537.09	609.76	499.45	772.55	440.38	554.99	459.96	309.08	609.9	602.04	497.62	674.14	647.31	660.17	274.07	242.53	791.35	537.31	646.19	878.08	643.85	206.87	152.04	597.69	519.08	439.92	393.23	304.16	325.95	501.76	471.63	207.63	1080.31	917.52	794.19	445.34
hsa-mir-320a+1	194.44	69.37	52.71	69.53	100.02	128.89	120.29	84.1	139.35	64.08	81.52	127.77	50.03	81.66	64.82	77.11	100.11	106.1	86.65	318.32	31.24	100.57	108.11	49.46	132.35	107.38	14.23	18.3	116.62	31.19	84.46	56.84	68.52	44.79	58.87	17.24	12.71	149.51	91.43	92.32	162.78
hsa-mir-340-5p	21.13	23.68	12.53	8.98	11.51	18.7	22.79	9.71	16.13	12.83	41.57	7.41	36.56	54.72	18.57	29.87	26.47	70.8	137.28	0	2.24	13.63	8.53	39.14	26.83	4.96	16.58	4.2	3.57	9.8	9.73	53.68	30.17	44.02	21.87	76	47.27	14.34	39.08	19.97	20.57
hsa-mir-195-3p	30.88	34.35	18.55	27.11	27.76	25.19	38.62	33.46	50.04	32.8	28.27	45.88	22.95	33.17	23.63	29.5	32.94	22.64	9.58	12.99	5.91	28.69	23.97	21.49	157.43	25.71	8.07	4.27	19.21	13.53	23.78	25.3	16.99	18.24	30.21	4.73	3.73	43.52	36.37	25.18	31.31
hsa-mir-29a-3p-1	75	229.55	100.9	97.65	85.22	98.73	115.71	95.42	97.58	187.97	199.51	101.93	131.01	155.4	130.7	138.99	171.35	167.58	262.48	21.81	23.7	91.57	37.72	167.82	79.61	87.94	67.19	14.7	122.67	104.98	117.93	132.22	117.12	193.72	133.05	101.63	46.49	80.84	296.88	125.44	123.59
hsa-mir-320a	5403.1	1561.9	1245.09	1614.13	2390.4	2946.45	2519.13	1937.95	3228.94	1745.6	1758.86	3235.88	1174.52	1729.49	1510.96	1740.55	2137.02	2299.23	1800.23	6880.25	697.51	2139.86	2188.59	1013.88	5177.57	2628.62	462.08	583.83	3271.08	804.96	1894.33	1197.79	1369.3	987.86	1334.12	451.96	278.59	3388.65	1806.48	1782.85	3885.11
hsa-mir-486-5p	1516.85	1329.2	831	1115.84	606.43	473.83	3692.29	1457.58	347.37	1353.93	942.09	1275.53	562.23	566.92	1922	864.6	1507.32	841.05	2881.13	4149.32	1410.36	813.24	2517.48	1420.7	2434.62	1703.66	182.07	680.23	831.67	136.39	609.44	294.71	1167.22	1107.36	655.89	1612.31	2651.64	3404.3	1962.36	7332.59	4232.1
